"","establishment_id","rolling_window","start_date","end_date","n_pos","n_pos_adj","percent_pos","percent_pos_adj","n_neg","percent_neg","total_sample_no","n_pos_breast","n_neg_breast","n_pos_leg","n_neg_leg","n_pos_wing","n_neg_wing","rw_category","establishment_size"
"1",2,"1","2024-09-29","2025-09-27",1,0,2.04081632653061,0,48,97.9591836734694,49,1,16,0,13,0,19,"1","Large"
"2",2,"2","2024-09-01","2025-08-30",1,0,2,0,49,98,50,1,16,0,13,0,20,"1","Large"
"3",2,"3","2024-07-28","2025-07-26",1,0,1.96078431372549,0,50,98.0392156862745,51,1,17,0,12,0,21,"1","Large"
"4",2,"4","2024-06-30","2025-06-28",1,1,1.88679245283019,1.88679245283019,52,98.1132075471698,53,1,18,0,13,0,21,"1","Large"
"5",2,"5","2024-06-02","2025-05-31",1,1,1.88679245283019,1.88679245283019,52,98.1132075471698,53,1,19,0,12,0,21,"1","Large"
"6",2,"6","2024-04-28","2025-04-26",2,2,3.77358490566038,3.77358490566038,51,96.2264150943396,53,2,18,0,11,0,22,"1","Large"
"7",2,"7","2024-03-31","2025-03-29",2,2,3.7037037037037,3.7037037037037,52,96.2962962962963,54,2,20,0,10,0,22,"1","Large"
"8",2,"8","2024-02-25","2025-02-22",2,2,3.63636363636364,3.63636363636364,53,96.3636363636364,55,2,20,0,11,0,22,"1","Large"
"9",2,"9","2024-01-28","2025-01-25",3,3,5.35714285714286,5.35714285714286,53,94.6428571428571,56,2,21,0,11,1,21,"1","Large"
"10",2,"10","2023-12-31","2024-12-28",3,3,5,5,57,95,60,2,22,0,14,1,21,"1","Large"
"11",2,"11","2023-12-03","2024-11-30",4,4,6.66666666666667,6.66666666666667,56,93.3333333333333,60,3,24,0,12,1,20,"1","Large"
"12",2,"12","2023-10-29","2024-10-26",4,4,6.66666666666667,6.66666666666667,56,93.3333333333333,60,3,23,0,13,1,20,"1","Large"
"13",2,"13","2023-10-01","2024-09-28",4,4,6.66666666666667,6.66666666666667,56,93.3333333333333,60,3,23,0,12,1,21,"1","Large"
"14",2,"14","2023-09-03","2024-08-31",4,4,6.66666666666667,6.66666666666667,56,93.3333333333333,60,3,22,0,13,1,21,"1","Large"
"15",2,"15","2023-07-30","2024-07-27",5,5,8.33333333333333,8.33333333333333,55,91.6666666666667,60,4,23,0,13,1,19,"2","Large"
"16",2,"16","2023-07-02","2024-06-29",6,6,10,10,54,90,60,4,23,0,13,2,18,"2","Large"
"17",2,"17","2023-05-28","2024-05-25",9,9,14.7540983606557,14.7540983606557,52,85.2459016393443,61,5,21,1,13,3,18,"2","Large"
"18",2,"18","2023-04-30","2024-04-27",8,8,13.3333333333333,13.3333333333333,52,86.6666666666667,60,4,21,1,13,3,18,"2","Large"
"19",2,"19","2023-04-02","2024-03-30",8,8,13.3333333333333,13.3333333333333,52,86.6666666666667,60,4,20,1,13,3,19,"2","Large"
"20",2,"20","2023-02-26","2024-02-24",8,8,13.1147540983607,13.1147540983607,53,86.8852459016393,61,4,21,1,11,3,21,"2","Large"
"21",2,"21","2023-01-29","2024-01-27",7,7,11.6666666666667,11.6666666666667,53,88.3333333333333,60,4,18,1,12,2,23,"2","Large"
"22",2,"22","2023-01-01","2023-12-30",7,7,11.6666666666667,11.6666666666667,53,88.3333333333333,60,4,20,1,9,2,24,"2","Large"
"23",3,"1","2024-09-29","2025-09-27",9,8,17.6470588235294,15.6862745098039,42,82.3529411764706,51,6,11,1,16,2,15,"3","Large"
"24",3,"2","2024-09-01","2025-08-30",9,8,17.6470588235294,15.6862745098039,42,82.3529411764706,51,6,10,1,17,2,15,"3","Large"
"25",3,"3","2024-07-28","2025-07-26",10,10,18.8679245283019,18.8679245283019,43,81.1320754716981,53,6,12,2,17,2,14,"3","Large"
"26",3,"4","2024-06-30","2025-06-28",10,10,18.8679245283019,18.8679245283019,43,81.1320754716981,53,6,12,2,16,2,15,"3","Large"
"27",3,"5","2024-06-02","2025-05-31",10,10,19.2307692307692,19.2307692307692,42,80.7692307692308,52,6,11,2,16,2,15,"3","Large"
"28",3,"6","2024-04-28","2025-04-26",10,10,18.8679245283019,18.8679245283019,43,81.1320754716981,53,6,11,2,16,2,16,"3","Large"
"29",3,"7","2024-03-31","2025-03-29",8,8,15.0943396226415,15.0943396226415,45,84.9056603773585,53,5,13,2,16,1,16,"2","Large"
"30",3,"8","2024-02-25","2025-02-22",7,7,12.7272727272727,12.7272727272727,48,87.2727272727273,55,5,14,1,18,1,16,"2","Large"
"31",3,"9","2024-01-28","2025-01-25",5,5,9.25925925925926,9.25925925925926,49,90.7407407407407,54,4,14,1,18,0,17,"2","Large"
"32",3,"10","2023-12-31","2024-12-28",5,5,8.92857142857143,8.92857142857143,51,91.0714285714286,56,4,15,1,18,0,18,"2","Large"
"33",3,"11","2023-12-03","2024-11-30",6,6,10.9090909090909,10.9090909090909,49,89.0909090909091,55,4,14,2,17,0,18,"2","Large"
"34",3,"12","2023-10-29","2024-10-26",4,4,7.40740740740741,7.40740740740741,50,92.5925925925926,54,2,16,2,16,0,18,"1","Large"
"35",3,"13","2023-10-01","2024-09-28",4,4,7.27272727272727,7.27272727272727,51,92.7272727272727,55,2,17,2,15,0,19,"1","Large"
"36",3,"14","2023-09-03","2024-08-31",4,4,7.01754385964912,7.01754385964912,53,92.9824561403509,57,2,17,2,16,0,20,"1","Large"
"37",3,"15","2023-07-30","2024-07-27",3,3,5.35714285714286,5.35714285714286,53,94.6428571428571,56,2,16,1,17,0,20,"1","Large"
"38",3,"16","2023-07-02","2024-06-29",3,3,5,5,57,95,60,2,18,1,18,0,21,"1","Large"
"39",3,"17","2023-05-28","2024-05-25",3,3,5,5,57,95,60,2,18,1,18,0,21,"1","Large"
"40",3,"18","2023-04-30","2024-04-27",5,5,8.33333333333333,8.33333333333333,55,91.6666666666667,60,4,18,1,17,0,20,"2","Large"
"41",3,"19","2023-04-02","2024-03-30",5,5,8.19672131147541,8.19672131147541,56,91.8032786885246,61,4,18,1,18,0,20,"2","Large"
"42",3,"20","2023-02-26","2024-02-24",6,6,10.1694915254237,10.1694915254237,53,89.8305084745763,59,4,17,1,16,1,20,"2","Large"
"43",3,"21","2023-01-29","2024-01-27",6,6,10,10,54,90,60,4,18,1,18,1,18,"2","Large"
"44",3,"22","2023-01-01","2023-12-30",7,7,11.6666666666667,11.6666666666667,53,88.3333333333333,60,5,17,1,18,1,18,"2","Large"
"45",8,"1","2024-09-29","2025-09-27",4,4,7.54716981132075,7.54716981132075,49,92.4528301886792,53,3,19,0,20,1,10,"1","Large"
"46",8,"2","2024-09-01","2025-08-30",4,4,7.27272727272727,7.27272727272727,51,92.7272727272727,55,4,19,0,21,0,11,"1","Large"
"47",8,"3","2024-07-28","2025-07-26",4,4,7.27272727272727,7.27272727272727,51,92.7272727272727,55,4,20,0,21,0,10,"1","Large"
"48",8,"4","2024-06-30","2025-06-28",5,5,9.09090909090909,9.09090909090909,50,90.9090909090909,55,5,18,0,22,0,10,"2","Large"
"49",8,"5","2024-06-02","2025-05-31",7,7,12.7272727272727,12.7272727272727,48,87.2727272727273,55,6,17,1,21,0,10,"2","Large"
"50",8,"6","2024-04-28","2025-04-26",6,6,11.1111111111111,11.1111111111111,48,88.8888888888889,54,5,17,1,21,0,10,"2","Large"
"51",8,"7","2024-03-31","2025-03-29",6,6,10.9090909090909,10.9090909090909,49,89.0909090909091,55,5,18,1,22,0,9,"2","Large"
"52",8,"8","2024-02-25","2025-02-22",7,7,12.7272727272727,12.7272727272727,48,87.2727272727273,55,6,17,1,22,0,9,"2","Large"
"53",8,"9","2024-01-28","2025-01-25",8,8,15.0943396226415,15.0943396226415,45,84.9056603773585,53,6,15,2,21,0,9,"2","Large"
"54",8,"10","2023-12-31","2024-12-28",8,8,14.2857142857143,14.2857142857143,48,85.7142857142857,56,6,17,2,21,0,10,"2","Large"
"55",8,"11","2023-12-03","2024-11-30",8,8,14.2857142857143,14.2857142857143,48,85.7142857142857,56,6,17,2,21,0,10,"2","Large"
"56",8,"12","2023-10-29","2024-10-26",6,6,10.7142857142857,10.7142857142857,50,89.2857142857143,56,4,17,2,22,0,11,"2","Large"
"57",8,"13","2023-10-01","2024-09-28",6,6,10.5263157894737,10.5263157894737,51,89.4736842105263,57,4,19,2,21,0,11,"2","Large"
"58",8,"14","2023-09-03","2024-08-31",5,5,8.7719298245614,8.7719298245614,52,91.2280701754386,57,3,19,2,22,0,11,"2","Large"
"59",8,"15","2023-07-30","2024-07-27",5,5,8.7719298245614,8.7719298245614,52,91.2280701754386,57,3,18,2,22,0,12,"2","Large"
"60",8,"16","2023-07-02","2024-06-29",5,5,8.62068965517241,8.62068965517241,53,91.3793103448276,58,3,20,2,21,0,12,"2","Large"
"61",8,"17","2023-05-28","2024-05-25",4,4,6.89655172413793,6.89655172413793,54,93.1034482758621,58,2,21,1,21,1,12,"1","Large"
"62",8,"18","2023-04-30","2024-04-27",4,4,6.77966101694915,6.77966101694915,55,93.2203389830508,59,2,22,1,22,1,11,"1","Large"
"63",8,"19","2023-04-02","2024-03-30",4,4,6.77966101694915,6.77966101694915,55,93.2203389830508,59,2,22,1,21,1,12,"1","Large"
