"","form_id","establishment_id","establishment_number","establishment_name","establishment_size","establishment_state","project_code","collection_date","sample_source_name","product_type","salmonella_sp_analysis","salmonella_quantitative_cfu_ml","establishment_zip","latitude","longitude","salmonella_serotype1"
"1","103114265",2,"P32","Mar-Jac Poultry, Inc.","Large","GA","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"30501",34.27935798,-83.828091,NA
"2","103109790",60,"P2632","Pilgrim's Pride Corporation","Large","FL","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"32060",30.37325269,-83.15682188,NA
"3","103111949",577,"P419","Case Farms Processing, Inc.","Large","NC","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"28655",35.73619285,-81.68407569,NA
"4","103111978",2160,"P19112","Perdue Foods LLC","Large","KY","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"42333",37.34254728,-86.78730795,NA
"5","103111733",3846,"P72","Tyson Foods, Inc","Large","AR","HC_CPT_LBW01",2023-01-02,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Chicken","Breast","Negative",NA,"72834",35.2167011,-93.16241198,NA
"6","103109291",4142,"P218","Pilgrim's Pride Corporation","Large","TX","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"75904",31.33459599,-94.75435701,NA
"7","103115853",4530,"P18557","Sanderson Farms, Inc.","Large","MS","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"39666",31.27224222,-90.37336563,NA
"8","103114920",4755,"P19152+V19152","Koch Foods LLC","Large","TN","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"37813",36.14014501,-83.29584501,NA
"9","103115565",7947,"M21494+P21494","CCP Poultry & Meat Corp.","Small","CA","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"90058",33.99742102,-118.191547,NA
"10","103113301",9259,"M27389+P27389+V27389","Pitman Farms","Large","CA","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"93657",36.69266402,-119.551853,NA
"11","103111928",6163939,"P51345","Pearl River Foods","Small","MS","HC_CPT_LBW01",2023-01-02,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"39051",32.77259601,-89.525515,NA
"12","103114478",9,"P177","Pilgrim's Pride Corporation","Large","GA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"30503",34.28334399,-83.82731199,NA
"13","103111178",45,"P1272","Pilgrim's Pride Corporation","Large","GA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"31533",31.52687898,-82.84728503,NA
"14","103111869",291,"P19871","Filet of Chicken","Small","GA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"30297",33.61743301,-84.39276104,NA
"15","103112740",562,"P445","Wayne Farms, LLC","Large","NC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"27017",36.39102145,-80.71150578,NA
"16","103111466",564,"P687","House of Raeford","Large","SC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"29169",33.996562,-81.05777402,NA
"17","103114750",567,"M7478+P1","Tyson Foods, Inc.","Large","NC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"28697",36.14405722,-81.16277378,NA
"18","103111606",578,"P510","House Of Raeford Farms","Large","NC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Chicken","Wing","Negative",NA,"28458",34.85851543,-78.03286309,NA
"19","103110986",579,"P622","Tyson Foods, Inc.","Large","NC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"28110",34.98194528,-80.49242848,NA
"20","103111975",592,"P1309","House of Raeford Farms Inc.","Large","SC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Chicken","Leg","Negative",NA,"29609",34.89349202,-82.368142,NA
"21","103114275",696,"P9197","Perdue Foods, LLC.","Large","NC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"27849",36.14407152,-77.21076487,NA
"22","103111392",727,"M17980+P17980","Pilgrim's Pride Corporation","Large","SC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"29150",33.86327201,-80.36614303,NA
"23","103116443",872,"M1698+P787+V1698","Schreiber Processing Corporation","Small","NY","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"11378",40.72512417,-73.90893203,NA
"24","103110864",1108,"M4653+P4653","A.A. Rubashkin & Sons","Small","NY","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"11219",40.63687815,-73.98680804,NA
"25","103110032",1423,"M18596+P18596","K&L Ranch Inc.","Small","NJ","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"7502",40.92382187,-74.18774003,NA
"26","103110254",1618,"M4398+P4398","DiLuigi Foods, Inc","Small","MA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"1923",42.56422717,-70.97450115,NA
"27","103110601",1815,"P17336","ROYAL POULTRY, INC.","Small","RI","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"2920",41.78767599,-71.47112104,NA
"28","103113328",2197,"P20245","Keystone Foods, LLC","Large","KY","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"42602",36.75976501,-85.18153903,NA
"29","103116006",2216,"M56+P56","Pilgrim's Pride Corporation","Large","VA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"22853",38.63276699,-78.78422704,NA
"30","103111045",2249,"M667+P667","Mountaire Farms Inc.","Large","DE","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"19975",38.46016202,-75.22762199,NA
"31","103113124",2267,"P1318","Perdue Foods, LLC","Large","DE","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"19963",38.92299902,-75.42138703,NA
"32","103111453",3846,"P72","Tyson Foods, Inc","Large","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"72834",35.2167011,-93.16241198,NA
"33","103112968",3847,"M112+P112","Tyson Foods, Inc","Large","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"72638",36.33028794,-93.42887629,NA
"34","103113514",3850,"P165S+V165S","Bachoco OK Foods","Large","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"72904",35.42356018,-94.38529636,NA
"35","103115850",3858,"P1009","Wayne Farms LLC","Large","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"72833",35.05528928,-93.36897895,NA
"36","103110851",3870,"P5787","Pilgrim's Pride Corporation","Large","LA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Chicken","Wing","Negative",NA,"71457",31.72500098,-93.10701296,NA
"37","103113222",3879,"P7085+V7085","Tyson Foods, Inc","Large","OK","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"74728",34.04968228,-94.73956431,NA
"38","103110198",3879,"P7085+V7085","Tyson Foods, Inc","Large","OK","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"74728",34.04968228,-94.73956431,NA
"39","103115532",3881,"P7101","Tyson Foods, Inc.","Large","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"72830",35.47213096,-93.45682071,NA
"40","103116292",3890,"P7264+V7264","Sanderson Farms, Inc.","Large","LA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"70401",30.50505299,-90.50832802,NA
"41","103109936",4093,"P19865+V19865","House of Raeford Farms of LA","Large","LA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"71001",32.55916602,-92.94232701,NA
"42","103115669",4128,"P325","Tyson Foods, Inc.","Large","TX","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"75935",31.79330499,-94.16618302,NA
"43","103114759",4487,"P308","Koch Foods of Mississippi","Large","MS","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"39117",32.35494571,-89.65521649,NA
"44","103110910",4489,"P517","Mar-Jac Poultry-MS","Large","MS","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"39401",31.30596399,-89.27681396,NA
"45","103111544",4490,"P522","Sanderson Farms, Inc. (Processing Div)","Large","MS","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"39428",31.65076431,-89.56720005,NA
"46","103113262",4495,"P1317+V1317","Wayne Farms LLC","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"35950",34.257754,-86.201073,NA
"47","103109781",4499,"P6651","Tyson Foods Inc.","Large","TN","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"37160",35.47756768,-86.47513265,NA
"48","103109570",4499,"P6651","Tyson Foods Inc.","Large","TN","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"37160",35.47756768,-86.47513265,NA
"49","103114651",4501,"P192","Pilgrim's Pride Corporation","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"35976",34.34576862,-86.28439721,NA
"50","103114982",4501,"P192","Pilgrim's Pride Corporation","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"35976",34.34576862,-86.28439721,NA
"51","103110778",4505,"P519","Amick Farms LLC","Large","MS","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"39440",31.69334234,-89.11973663,NA
"52","103111474",4506,"P548","JCG  Foods of Alabama, LLC","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"35961",34.29861666,-85.9061969,NA
"53","103116282",4509,"P1235","Wayne Farms LLC","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"35601",34.60706399,-87.04290198,NA
"54","103110631",4512,"P6510","Peco Foods, Inc","Large","MS","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"39422",32.01580849,-89.28461618,NA
"55","103112087",4518,"P7485+V7485","Wayne Farms LLC","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"36346",31.50060398,-85.89957301,NA
"56","103112241",4521,"M9141+P9141","Koch Foods of Mississippi","Large","MS","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"39074",32.35218138,-89.47379622,NA
"57","103113572",4538,"P164","Tyson Foods Inc","Large","MS","HC_CPT_LBW01",2023-01-03,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Chicken","Breast","Negative",NA,"39074",32.359912,-89.49305902,NA
"58","103113366",4568,"P1353","Pilgrim's Pride Corporation","Small","TN","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"37408",35.03655401,-85.31262504,NA
"59","103116032",4595,"P6529","Koch Foods of  Montgomery, AL","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"36108",32.32943201,-86.35484698,NA
"60","103112316",4783,"M20322+P20322","Keystone Foods, LLC.","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"36027",31.80829045,-85.32132194,NA
"61","103117149",5333,"P7632","Foster Poultry Farms, LLC","Large","CA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"93706",36.71606801,-119.824112,NA
"62","103111388",5687,"M4181+P4181","Mao Foods, Inc.","Small","CA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"90058",34.00630202,-118.240374,NA
"63","103115970",5721,"M4934+P4934","T&J Sausage Kitchen","Small","CA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"92806",33.85587749,-117.8706778,NA
"64","103109771",6972,"P529+V529","Pilgrim's Pride Corporation","Small","WI","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"54612",44.25770702,-91.51079903,NA
"65","103109801",8015,"M21498+P21498","Ozark Mountain Poultry Inc.","Large","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"72756",36.34747759,-94.12413395,NA
"66","103110335",9745,"P32174","Alatrade Foods, Inc.","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"35950",34.23345302,-86.16709201,NA
"67","103113306",9745,"P32174","Alatrade Foods, Inc.","Large","AL","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"35950",34.23345302,-86.16709201,NA
"68","103115639",9813,"M21863A+P21863A","Rio Grande Pak Foods","Small","TX","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"78503",26.15948001,-98.27472399,NA
"69","103113756",13550,"M2676+P2676","Southeast Poultry, Inc.","Small","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"72756",36.35159419,-94.14681722,NA
"70","103115448",13729,"P40183","Sanderson Farms, Inc.","Large","NC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"28504",35.25822509,-77.66792567,NA
"71","103116217",123767,"P44935","Gold Creek Processing LLC","Small","GA","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"30507",34.22334201,-83.80408297,NA
"72","103112306",127044,"P45483","Peco Foods, Inc.","Large","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Wing","Negative",NA,"72455",36.21396418,-90.95791964,NA
"73","103113533",6162129,"P5840","Simmons Prepared Foods, Inc.","Small","AR","HC_CPT_LBW01",2023-01-03,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Chicken","Breast","Negative",NA,"72916",35.30437417,-94.38148729,NA
"74","103110152",6162343,"P46897","IHSAN FARMS, IIC","Small","MD","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"21853",38.196056,-75.67867198,NA
"75","103111966",6163896,"M1234+P1234","Mountaire Farms Inc.","Large","NC","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Leg","Negative",NA,"27344",35.73194054,-79.44971469,NA
"76","103111420",6165818,"M47579+P47579","Tyson Foods Inc.","Large","TN","HC_CPT_LBW01",2023-01-03,"Product-Raw-Intact-Chicken","Breast","Negative",NA,"38343",35.85098953,-88.92618991,NA
