establishment_id,rolling_window,start_date,end_date,n_pos,n_pos_adj,percent_pos,percent_pos_adj,n_neg,percent_neg,total_sample_no,n_pos_breast,n_neg_breast,n_pos_leg,n_neg_leg,n_pos_wing,n_neg_wing,n_lessthan10,n_exceed10,n_exceed50,n_exceed100,rw_category,establishment_size,establishment_state,company_name
2,1,1/1/2023,12/30/2023,7,7,11.66666667,11.66666667,53,88.33333333,60,4,20,1,9,2,24,6,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,2,1/8/2023,1/6/2024,7,7,11.66666667,11.66666667,53,88.33333333,60,4,19,1,10,2,24,6,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,3,1/15/2023,1/13/2024,7,7,11.86440678,11.86440678,52,88.13559322,59,4,19,1,10,2,23,6,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,4,1/22/2023,1/20/2024,7,7,11.86440678,11.86440678,52,88.13559322,59,4,18,1,11,2,23,6,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,5,1/29/2023,1/27/2024,7,7,11.66666667,11.66666667,53,88.33333333,60,4,18,1,12,2,23,6,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,6,2/5/2023,2/3/2024,7,7,11.66666667,11.66666667,53,88.33333333,60,4,19,1,11,2,23,6,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,7,2/12/2023,2/10/2024,7,7,11.66666667,11.66666667,53,88.33333333,60,4,20,1,11,2,22,6,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,8,2/19/2023,2/17/2024,8,8,12.90322581,12.90322581,54,87.09677419,62,4,21,1,11,3,22,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,9,2/26/2023,2/24/2024,8,8,13.1147541,13.1147541,53,86.8852459,61,4,21,1,11,3,21,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,10,3/5/2023,3/2/2024,8,8,13.55932203,13.55932203,51,86.44067797,59,4,20,1,11,3,20,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,11,3/12/2023,3/9/2024,8,8,13.1147541,13.1147541,53,86.8852459,61,4,21,1,12,3,20,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,12,3/19/2023,3/16/2024,8,8,12.90322581,12.90322581,54,87.09677419,62,4,21,1,13,3,20,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,13,3/26/2023,3/23/2024,8,8,13.1147541,13.1147541,53,86.8852459,61,4,20,1,13,3,20,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,14,4/2/2023,3/30/2024,8,8,13.33333333,13.33333333,52,86.66666667,60,4,20,1,13,3,19,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,15,4/9/2023,4/6/2024,8,8,13.33333333,13.33333333,52,86.66666667,60,4,20,1,13,3,19,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,16,4/16/2023,4/13/2024,8,8,13.33333333,13.33333333,52,86.66666667,60,4,21,1,13,3,18,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,17,4/23/2023,4/20/2024,8,8,13.1147541,13.1147541,53,86.8852459,61,4,21,1,14,3,18,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,18,4/30/2023,4/27/2024,8,8,13.33333333,13.33333333,52,86.66666667,60,4,21,1,13,3,18,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,19,5/7/2023,5/4/2024,8,8,13.55932203,13.55932203,51,86.44067797,59,4,21,1,13,3,17,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,20,5/14/2023,5/11/2024,8,8,13.55932203,13.55932203,51,86.44067797,59,4,21,1,13,3,17,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,21,5/21/2023,5/18/2024,8,8,13.33333333,13.33333333,52,86.66666667,60,4,22,1,13,3,17,7,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,22,5/28/2023,5/25/2024,9,9,14.75409836,14.75409836,52,85.24590164,61,5,21,1,13,3,18,8,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,23,6/4/2023,6/1/2024,7,7,11.86440678,11.86440678,52,88.13559322,59,5,21,0,13,2,18,6,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,24,6/11/2023,6/8/2024,6,6,10.16949153,10.16949153,53,89.83050847,59,4,21,0,13,2,19,5,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
2,25,6/18/2023,6/15/2024,6,6,10.16949153,10.16949153,53,89.83050847,59,4,22,0,13,2,18,5,1,0,0,2,Large,GA,"Mar-Jac Poultry, Inc."
