form_id,sample_number,establishment_id,establishment_number,establishment_name,establishment_state,project_code,project_name,collection_date,sample_source_name,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g
103456851,300652632,9,P177,Pilgrim's Pride Corporation,GA,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2024-10-01,Product-Raw-Intact-Chicken,Breast,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
103472719,300652696,32,P646,"JCG Foods of Georgia, LLC",GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103469061,300652574,38,P855,Pilgrim's Pride Corporation,GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103472466,300653267,44,P1257,Fieldale Farms Corporation,GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103463300,300652912,48,P1284,Pilgrim's Pride Corporation,GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103472677,300652897,60,P2632,Pilgrim's Pride Corporation,FL,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103457296,300652587,63,P2686,"Keystone Foods, LLC",GA,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2024-10-01,Product-Raw-Intact-Chicken,Breast,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
103456507,300653397,72,P6505,"Norman W. Fries, Inc.",GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103461314,300652875,469,M17335+P17335,"Intra Coastal Packing, Inc.",FL,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2024-10-01,Product-Raw-Intact-Chicken,Breast,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Positive,NULL,NULL,NULL,NULL,NULL,NULL
103472764,300652685,567,M7478+P1,"Tyson Foods, Inc.",NC,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103472737,300652533,579,P622,"Tyson Foods, Inc.",NC,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
103470051,300652542,589,P1243,"Perdue Foods, LLC.",NC,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103471536,300652887,589,P1243,"Perdue Foods, LLC.",NC,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2024-10-01,Product-Raw-Intact-Chicken,Leg,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
103468464,300652690,696,P9197,"Perdue Foods, LLC.",NC,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
103469635,300653620,696,P9197,"Perdue Foods, LLC.",NC,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2024-10-01,Product-Raw-Intact-Chicken,Leg,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
103468360,300652608,734,P18285,Perdue Foods LLC,SC,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2024-10-01,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
103470078,300652636,750,P19128,Case Farms Processing,NC,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2024-10-01,Product-Raw-Intact-Chicken,Breast,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86 Sample not selected for Campylobacter analysis,NULL,NULL,NULL,NULL,NULL
