form_id,sample_number,establishment_id,establishment_number,establishment_name,establishment_state,project_code,project_name,collection_date,sample_source_name,product_type,not_analyzed,not_analyzed_explain,salmonella_sp_analysis,salmonella_sp_analysis_canceled,salmonellae_mpn_g,salmonellae_mpn_g_canceled,salmonellae_mpn_combination,salmonella_quantitative_cfu_g,salmonella_quantitative_cfu_ml,salmonella_mpn_qualitative,campylobacter_analysis_1ml,campylobacter_analysis_1ml_canceled,campylobacter_analysis_30ml,campylobacter_analysis_30ml_canceled,aerobic_plate_count_mpn_ml,enterobacteriaceae_mpn_ml,aerobic_plate_count_mpn_100_sq_cm,enterobacteriaceae_mpn_100_sq_cm,aerobic_plate_count_mpn_g
103059572,300244973,7855,P21234,Perdue Foods LLC,GA,EX_CHCAR_RH1,Exploratory Young Chicken Carcass Rehang Sampling,2022-10-02,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Positive,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,NULL,NULL,NULL,1400,110,NULL,NULL,NULL
103059573,300244976,7855,P21234,Perdue Foods LLC,GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2022-10-02,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,10,<10,NULL,NULL,NULL
103059113,300244864,3,P40,Pilgrim's Pride Corporation,GA,EX_CHCAR_RH1,Exploratory Young Chicken Carcass Rehang Sampling,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Positive,NULL,NULL,NULL,NULL,NULL,<10,NULL,NULL,NULL,NULL,NULL,8200,640,NULL,NULL,NULL
103059112,300244868,3,P40,Pilgrim's Pride Corporation,GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,<10,<10,NULL,NULL,NULL
103053681,300244863,9,P177,Pilgrim's Pride Corporation,GA,EX_CHCAR_RH1,Exploratory Young Chicken Carcass Rehang Sampling,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Positive,NULL,NULL,NULL,NULL,NULL,<10,NULL,NULL,NULL,NULL,NULL,22050,1050,NULL,NULL,NULL
103053683,300244866,9,P177,Pilgrim's Pride Corporation,GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,<10,<10,NULL,NULL,NULL
103059996,300244983,15,P243,"Tyson Foods, Inc.",GA,EX_CHCAR_RH1,Exploratory Young Chicken Carcass Rehang Sampling,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Positive,NULL,NULL,NULL,NULL,NULL,<10,NULL,NULL,NULL,NULL,NULL,77000,1700,NULL,NULL,NULL
103059992,300244980,15,P243,"Tyson Foods, Inc.",GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,10,<10,NULL,NULL,NULL
103059597,300245986,29,P476,Pilgrim's Pride Corporation,GA,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2022-10-03,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Chicken",Leg,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
103056699,300245268,32,P646,"JCG Foods of Georgia, LLC",GA,EX_CHCAR_RH1,Exploratory Young Chicken Carcass Rehang Sampling,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Positive,NULL,NULL,NULL,NULL,NULL,<10,NULL,NULL,NULL,NULL,NULL,7100,260,NULL,NULL,NULL
103056701,300245243,32,P646,"JCG Foods of Georgia, LLC",GA,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Positive,NULL,200,55,NULL,NULL,NULL
103058090,300245004,45,P1272,Pilgrim's Pride Corporation,GA,F_CH_CARC01,Follow-up sampling of Chicken Carcasses,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103054395,300245831,60,P2632,Pilgrim's Pride Corporation,FL,EX_CHCAR_RH1,Exploratory Young Chicken Carcass Rehang Sampling,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Positive,NULL,NULL,NULL,NULL,NULL,<10,NULL,NULL,NULL,NULL,NULL,26500,1100,NULL,NULL,NULL
103054397,300245776,60,P2632,Pilgrim's Pride Corporation,FL,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,10,<10,NULL,NULL,NULL
103058104,300244900,197,M12650+P12650,Fieldale Farms Corporation,GA,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2022-10-03,Product-Raw-Intact-Chicken,Wing,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
103052816,300244889,245,P18873,"Tyson Foods, Inc.",GA,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2022-10-03,Product-Raw-Intact-Chicken,Wing,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Positive,NULL,NULL,NULL,NULL,NULL,NULL
103056716,300244936,328,M1887+P1887,"Marcel's Portion Pak, Inc",FL,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2022-10-03,Product-Raw-Intact-Chicken,Breast,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Positive,NULL,NULL,NULL,NULL,NULL,NULL
103054711,300245574,562,P445,"Wayne Farms, LLC",NC,EX_CHCAR_RH1,Exploratory Young Chicken Carcass Rehang Sampling,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4450,280,NULL,NULL,NULL
103054704,300245571,562,P445,"Wayne Farms, LLC",NC,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,<10,<10,NULL,NULL,NULL
103056139,300245654,567,M7478+P1,"Tyson Foods, Inc.",NC,EX_CHCAR_RH1,Exploratory Young Chicken Carcass Rehang Sampling,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Positive,NULL,NULL,NULL,NULL,NULL,<10,NULL,NULL,NULL,NULL,NULL,110000,15200,NULL,NULL,NULL
103056152,300245650,567,M7478+P1,"Tyson Foods, Inc.",NC,HC_CH_CARC01,HACCP Verification for Young Chicken Carcasses,2022-10-03,Animal-Chicken-Broiler / Young Chicken Carcass Rinse,NULL,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,33,<10,NULL,NULL,NULL
103056424,300245661,567,M7478+P1,"Tyson Foods, Inc.",NC,HC_CPT_LBW01,"Sampling for Chicken Parts – Legs, Breasts, and  Wings",2022-10-03,Product-Raw-Intact-Chicken,Leg,00,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Negative,NULL,NULL,NULL,NULL,NULL,NULL
